record_id	record_name	field	url	outcome	http_status	final_url	content_type	page_title	error	checked_at
rca-ada-automated-data-analyst	Ada (Automated Data Analyst)	links.docs	https://github.com/saineshnakra/automated-data-analyst	reachable	206	https://github.com/saineshnakra/automated-data-analyst	text/html	GitHub - saineshnakra/automated-data-analyst: AI data analyst: chat with your data, generate dashboards, detect anomalies, forecast trends with verified calculations using pandas.. · GitHub		2026-09-11T07:33:02+00:00
rca-ada-automated-data-analyst	Ada (Automated Data Analyst)	links.pricing	https://github.com/saineshnakra/automated-data-analyst	reachable	206	https://github.com/saineshnakra/automated-data-analyst	text/html	GitHub - saineshnakra/automated-data-analyst: AI data analyst: chat with your data, generate dashboards, detect anomalies, forecast trends with verified calculations using pandas.. · GitHub		2026-09-11T07:33:02+00:00
rca-ada-automated-data-analyst	Ada (Automated Data Analyst)	links.privacy	https://github.com/saineshnakra/automated-data-analyst/blob/main/SECURITY.md	reachable	206	https://github.com/saineshnakra/automated-data-analyst/blob/main/SECURITY.md	text/html	automated-data-analyst/SECURITY.md at main · saineshnakra/automated-data-analyst · GitHub		2026-09-11T07:33:02+00:00
rca-ada-automated-data-analyst	Ada (Automated Data Analyst)	sources[0]	https://github.com/saineshnakra/automated-data-analyst	reachable	206	https://github.com/saineshnakra/automated-data-analyst	text/html	GitHub - saineshnakra/automated-data-analyst: AI data analyst: chat with your data, generate dashboards, detect anomalies, forecast trends with verified calculations using pandas.. · GitHub		2026-09-11T07:33:02+00:00
rca-ada-automated-data-analyst	Ada (Automated Data Analyst)	sources[1]	https://github.com/saineshnakra/automated-data-analyst/commits/main	reachable	206	https://github.com/saineshnakra/automated-data-analyst/commits/main	text/html	Commits · saineshnakra/automated-data-analyst · GitHub		2026-09-11T07:33:03+00:00
rca-ada-automated-data-analyst	Ada (Automated Data Analyst)	sources[2]	https://github.com/saineshnakra/automated-data-analyst/blob/main/SECURITY.md	reachable	206	https://github.com/saineshnakra/automated-data-analyst/blob/main/SECURITY.md	text/html	automated-data-analyst/SECURITY.md at main · saineshnakra/automated-data-analyst · GitHub		2026-09-11T07:33:02+00:00
rca-aider	Aider	links.docs	https://aider.chat	reachable	206	https://aider.chat	text/html	Aider - AI Pair Programming in Your Terminal		2026-09-11T07:32:43+00:00
rca-aider	Aider	links.pricing	https://github.com/Aider-AI/aider	reachable	206	https://github.com/Aider-AI/aider	text/html	GitHub - Aider-AI/aider: aider is AI pair programming in your terminal · GitHub		2026-09-11T07:32:49+00:00
rca-aider	Aider	links.privacy	https://aider.chat/docs/legal/privacy.html	reachable	206	https://aider.chat/docs/legal/privacy.html	text/html	Privacy policy | aider		2026-09-11T07:32:43+00:00
rca-aider	Aider	sources[0]	https://aider.chat/docs/legal/privacy.html	reachable	206	https://aider.chat/docs/legal/privacy.html	text/html	Privacy policy | aider		2026-09-11T07:32:43+00:00
