record_id	claim	status	source	verified	note
rca-claude-code	deployment_and_privacy	current-review	https://privacy.claude.com/en/articles/10015870-what-certifications-has-anthropic-obtained	2026-07-13	See data_handling_note and special_route
rca-claude-code	pricing	current-review	https://claude.com/pricing	2026-07-13	Volatile; recheck before release
rca-claude-code	software_license	proprietary	https://code.claude.com/docs/en/data-usage	2026-07-13	Licence not yet confirmed at record level
rca-openai-codex	deployment_and_privacy	current-review	https://developers.openai.com/api/docs/guides/your-data	2026-07-13	See data_handling_note and special_route
rca-openai-codex	pricing	current-review	https://learn.chatgpt.com/docs/pricing	2026-07-13	Volatile; recheck before release
rca-openai-codex	software_license	proprietary	https://developers.openai.com/api/docs/guides/your-data	2026-07-13	Licence not yet confirmed at record level
rca-gemini-cli	deployment_and_privacy	current-review	https://google-gemini.github.io/gemini-cli/docs/tos-privacy.html	2026-07-13	See data_handling_note and special_route
rca-gemini-cli	pricing	current-review	https://google-gemini.github.io/gemini-cli/docs/quota-and-pricing.html	2026-07-13	Volatile; recheck before release
rca-gemini-cli	software_license	confirmed	https://github.com/google-gemini/gemini-cli/discussions/27274	2026-07-13	Apache-2.0
rca-aider	deployment_and_privacy	current-review	https://aider.chat/docs/legal/privacy.html	2026-07-13	See data_handling_note and special_route
rca-aider	pricing	current-review	https://github.com/Aider-AI/aider	2026-07-13	Volatile; recheck before release
rca-aider	software_license	confirmed	https://github.com/Aider-AI/aider	2026-07-13	Apache-2.0
rca-goose	deployment_and_privacy	current-review	https://goose-docs.ai/docs/guides/usage-data/	2026-07-13	See data_handling_note and special_route
rca-goose	pricing	current-review	https://github.com/aaif-goose/goose	2026-07-13	Open-source software has no separate catalogue price; model-provider and infrastructure costs vary and must be checked separately
rca-goose	software_license	confirmed	https://github.com/aaif-goose/goose	2026-07-13	Apache-2.0
rca-cursor	deployment_and_privacy	current-review	https://cursor.com/privacy	2026-07-13	See data_handling_note and special_route
rca-cursor	pricing	current-review	https://cursor.com/pricing	2026-07-13	Volatile; recheck before release
rca-cursor	software_license	proprietary	https://cursor.com/data-use	2026-07-13	Licence not yet confirmed at record level
rca-github-copilot	deployment_and_privacy	current-review	https://github.com/features/copilot/plans	2026-07-13	See data_handling_note and special_route
rca-github-copilot	pricing	current-review	https://github.com/features/copilot/plans	2026-07-13	Volatile; recheck before release
rca-github-copilot	software_license	proprietary	https://github.com/features/copilot/plans	2026-07-13	Licence not yet confirmed at record level
rca-windsurf	deployment_and_privacy	current-review	https://cognition.com/legal/privacy-policy	2026-07-13	See data_handling_note and special_route
rca-windsurf	pricing	current-review	https://devin.ai/pricing	2026-07-13	Volatile; recheck before release
rca-windsurf	software_license	proprietary	https://cognition.com/blog/introducing-devin-desktop	2026-07-13	Licence not yet confirmed at record level
rca-google-antigravity	deployment_and_privacy	current-review	https://antigravity.google/terms	2026-07-13	See data_handling_note and special_route
rca-google-antigravity	pricing	current-review	https://antigravity.google/pricing	2026-07-13	Volatile; recheck before release
rca-google-antigravity	software_license	proprietary	https://antigravity.google/terms	2026-07-13	Licence not yet confirmed at record level
rca-jetbrains-junie	deployment_and_privacy	current-review	https://junie.jetbrains.com/docs/custom-llm-ollama.html	2026-07-13	See data_handling_note and special_route
rca-jetbrains-junie	pricing	current-review	https://www.jetbrains.com/help/ai-assistant/licensing-and-subscriptions.html	2026-07-13	Volatile; recheck before release
rca-jetbrains-junie	software_license	proprietary	https://junie.jetbrains.com/docs/custom-llm-ollama.html	2026-07-13	Licence not yet confirmed at record level
rca-cline	deployment_and_privacy	current-review	https://cline.bot/privacy	2026-07-13	See data_handling_note and special_route
rca-cline	pricing	current-review	https://cline.bot/pricing	2026-07-13	Volatile; recheck before release
rca-cline	software_license	confirmed	https://github.com/cline/cline	2026-07-13	Apache-2.0
rca-tabnine	deployment_and_privacy	current-review	https://docs.tabnine.com/main/administering-tabnine/managing-your-team	2026-07-13	See data_handling_note and special_route
rca-tabnine	pricing	current-review	https://www.tabnine.com/pricing/	2026-07-13	Volatile; recheck before release
rca-tabnine	software_license	proprietary	https://docs.tabnine.com/main/administering-tabnine/managing-your-team	2026-07-13	Licence not yet confirmed at record level
rca-tabby	deployment_and_privacy	current-review	https://www.tabbyml.com/privacy	2026-07-13	See data_handling_note and special_route
rca-tabby	pricing	current-review	https://www.tabbyml.com/pricing	2026-07-13	Volatile; recheck before release
rca-tabby	software_license	unconfirmed	https://github.com/TabbyML/pochi	2026-07-13	Licence not yet confirmed at record level
rca-devin	deployment_and_privacy	current-review	https://cognition.com/legal/platform-terms-of-service	2026-07-13	See data_handling_note and special_route
rca-devin	pricing	current-review	https://devin.ai/pricing	2026-07-13	Volatile; recheck before release
rca-devin	software_license	proprietary	https://cognition.com/legal/platform-terms-of-service	2026-07-13	Licence not yet confirmed at record level
rca-replit-agent	deployment_and_privacy	current-review	https://replit.com/privacy-policy/	2026-07-13	See data_handling_note and special_route
rca-replit-agent	pricing	current-review	https://replit.com/pricing	2026-07-13	Volatile; recheck before release
rca-replit-agent	software_license	proprietary	https://replit.com/commercial-agreement	2026-07-13	Licence not yet confirmed at record level
rca-openhands	deployment_and_privacy	current-review	https://www.openhands.dev/privacy	2026-07-13	See data_handling_note and special_route
